S4JobIndustry,S4EdExpected,S4OCC30EARN,S4JOBSECURE,S4JOBBALANCE,S4JOBCONTRIB,S4JOBDECISION,S4LOCATION,S4JOBTEAMWRK,S4ParEd,X4X2SES,X4HSCOMPSTAT,X4LOCALE,X4REGION,X4ATPRLVLA,X4PSLFSTFB16,Weight
Don't Know,Bachelor's degree,50000,Less important than salary,More important than salary,More important than salary,More important than salary,Less important than salary,Equally important,Bachelor's degree,0.845,Diploma,City,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,74.9235618830202
Business and Management,Bachelor's degree,35000,Equally important,More important than salary,More important than salary,More important than salary,Equally important,More important than salary,Bachelor's degree,-0.289,Diploma,Town,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,142.89885307381
Business and Management,"High school diploma, equivalent, or less",250000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Associate's degree,0.2141,Diploma,Rural,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,528.830769456187
Healthcare,Bachelor's degree,50000,More important than salary,More important than salary,More important than salary,Equally important,Equally important,More important than salary,Bachelor's degree,0.4529,Diploma,Rural,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,197.93599419586
Don't Know,Bachelor's degree,100000,Equally important,Equally important,Less important than salary,Equally important,Equally important,Less important than salary,Bachelor's degree,0.7443,Diploma,City,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and not in the labor force,283.625018337886
Don't Know,Bachelor's degree,35000,Equally important,Equally important,Less important than salary,Less important than salary,Less important than salary,Equally important,"High school diploma, equivalent, or less",0.0942,Diploma,Rural,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,1445.42491533206
Business and Management,Some college,40000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",0.0321,Diploma,City,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,64.1982438276593
Don't Know,Don't know,30000,More important than salary,More important than salary,Less important than salary,Less important than salary,More important than salary,Less important than salary,"High school diploma, equivalent, or less",-0.3637,Diploma,Rural,Northeast,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,364.163839338275
Education,More than a bachelor's degree,50000,Equally important,More important than salary,More important than salary,Less important than salary,More important than salary,Less important than salary,"High school diploma, equivalent, or less",0.1966,Diploma,Town,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,429.398386654768
Healthcare,Don't know,40000,More important than salary,More important than salary,Equally important,More important than salary,Less important than salary,More important than salary,Less than high school,-0.9108,Diploma,Rural,Midwest,Attained certificate,Not enrolled in postsecondary education and employed full-time,126.688248833662
Healthcare,More than a bachelor's degree,150000,More important than salary,Equally important,Equally important,More important than salary,Equally important,Equally important,"High school diploma, equivalent, or less",-0.4646,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,39.5721150598776
Don't Know,More than a bachelor's degree,60000,More important than salary,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,0.9552,Diploma,City,West,Item legitimate skip/NA,Not enrolled in postsecondary education and not in the labor force,134.972836869837
Arts and entertainment,Bachelor's degree,50000,More important than salary,Less important than salary,More important than salary,More important than salary,More important than salary,More important than salary,Associate's degree,-0.1619,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,185.334213276397
Arts and entertainment,Don't know,80000,Equally important,Equally important,Less important than salary,Equally important,Less important than salary,Equally important,Bachelor's degree,0.1049,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,149.351444854885
Service,Bachelor's degree,30000,More important than salary,Equally important,More important than salary,Equally important,Less important than salary,Equally important,"High school diploma, equivalent, or less",-0.634,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,348.967123594451
STEM,Bachelor's degree,75000,Equally important,More important than salary,More important than salary,Equally important,Equally important,Equally important,More than a bachelor's degree,0.6887,Diploma,Suburb,Midwest,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,83.4758382793425
Arts and entertainment,More than a bachelor's degree,50000,More important than salary,More important than salary,Less important than salary,Equally important,Equally important,Less important than salary,Bachelor's degree,1.2011,Diploma,Rural,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,371.28881420764
Business and Management,More than a bachelor's degree,60000,Equally important,More important than salary,More important than salary,Equally important,Less important than salary,Equally important,"High school diploma, equivalent, or less",0.1746,Diploma,City,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,287.090822574308
Don't Know,Some college,40000,Equally important,Equally important,Equally important,Less important than salary,Less important than salary,Less important than salary,Less than high school,-1.4943,Diploma,Rural,West,"No degree, not enrolled",Not enrolled in postsecondary education and not in the labor force,105.728360880127
Other,More than a bachelor's degree,100000,Equally important,Less important than salary,Less important than salary,Equally important,Less important than salary,Equally important,Bachelor's degree,0.665,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,159.629980529197
Healthcare,Bachelor's degree,50000,More important than salary,More important than salary,Equally important,Equally important,Less important than salary,Less important than salary,More than a bachelor's degree,0.6942,Diploma,Town,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,28.8910866888656
Healthcare,More than a bachelor's degree,45000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.223,Diploma,City,Midwest,Attained certificate,Enrolled in postsecondary education and employed part-time,293.265261582522
Trades and technical,"High school diploma, equivalent, or less",30000,Equally important,Less important than salary,Equally important,Less important than salary,Less important than salary,Equally important,"High school diploma, equivalent, or less",-0.1401,Diploma,Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and unemployed,94.8512142537694
Trades and technical,Some college,100000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",0.0491,"GED, other HS equivalency, or certificate of attendance",City,West,Item legitimate skip/NA,Not enrolled in postsecondary education and unemployed,89.1213447074893
Healthcare,More than a bachelor's degree,200000,More important than salary,More important than salary,More important than salary,Equally important,Equally important,Less important than salary,Associate's degree,0.3699,Diploma,City,West,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,480.25430557183
STEM,Bachelor's degree,70000,Equally important,Equally important,Less important than salary,Less important than salary,Equally important,Less important than salary,Bachelor's degree,0.6425,Diploma,Rural,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,943.929087701057
Don't Know,Bachelor's degree,250000,More important than salary,Equally important,Equally important,More important than salary,More important than salary,Less important than salary,Bachelor's degree,0.8961,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,292.892377906893
Don't Know,Don't know,30000,More important than salary,Equally important,Equally important,Equally important,More important than salary,Less important than salary,More than a bachelor's degree,0.8641,Diploma,Rural,Northeast,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,250.446829566242
Other,Some college,10000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.4217,Diploma,Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,579.846573820728
Don't Know,More than a bachelor's degree,250000,Equally important,Equally important,Less important than salary,Less important than salary,Equally important,Equally important,Associate's degree,0.2915,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,62.790195785767
Business and Management,Associate's degree,2500,More important than salary,Equally important,More important than salary,Equally important,Less important than salary,Equally important,Associate's degree,-0.6418,Diploma,Suburb,West,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,76.2489969998796
Education,Some college,200000,Less important than salary,Equally important,Equally important,More important than salary,Equally important,More important than salary,Bachelor's degree,0.4564,Diploma,City,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,120.189109537481
Don't Know,Don't know,2500,More important than salary,More important than salary,Equally important,More important than salary,Equally important,Equally important,Less than high school,-1.1861,Diploma,Suburb,South,Item legitimate skip/NA,Not enrolled in postsecondary education and unemployed,297.691071231879
Education,Bachelor's degree,35000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,0.9847,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,74.0053270195748
Other,Bachelor's degree,75000,More important than salary,Equally important,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,0.5206,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,293.850536498648
Education,More than a bachelor's degree,40000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,0.8936,Diploma,Suburb,Northeast,"No degree, not enrolled",Not enrolled in postsecondary education and not in the labor force,140.965300707232
Education,More than a bachelor's degree,40000,Equally important,Equally important,More important than salary,Equally important,Equally important,Less important than salary,More than a bachelor's degree,1.0893,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,531.065527877843
Service,More than a bachelor's degree,50000,Equally important,Equally important,More important than salary,Less important than salary,More important than salary,Less important than salary,Associate's degree,-0.1446,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,46.4619706756977
Other,Bachelor's degree,60000,Equally important,More important than salary,Less important than salary,Equally important,Less important than salary,Less important than salary,Bachelor's degree,0.1225,Diploma,Suburb,South,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,114.293628989776
Don't Know,Bachelor's degree,50000,Equally important,Less important than salary,Less important than salary,Equally important,Less important than salary,Less important than salary,Bachelor's degree,1.273,Diploma,Town,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,18.4756290260061
Don't Know,Don't know,30000,More important than salary,More important than salary,More important than salary,Equally important,More important than salary,Equally important,"High school diploma, equivalent, or less",-0.4231,"GED, other HS equivalency, or certificate of attendance",City,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,287.554548893228
Healthcare,More than a bachelor's degree,60000,More important than salary,More important than salary,Equally important,Equally important,More important than salary,Less important than salary,Bachelor's degree,1.4926,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and unemployed,46.2038280810312
Business and Management,Bachelor's degree,5000,Equally important,Less important than salary,Equally important,Equally important,More important than salary,More important than salary,"High school diploma, equivalent, or less",-0.6769,Diploma,City,South,"No degree, not enrolled",Not enrolled in postsecondary education and unemployed,1074.52846556524
Business and Management,More than a bachelor's degree,75000,Equally important,Equally important,Less important than salary,Equally important,Equally important,Less important than salary,"High school diploma, equivalent, or less",-0.59,Diploma,Rural,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,234.528446330744
Don't Know,Bachelor's degree,80000,More important than salary,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.2003,Diploma,Suburb,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,190.602593920132
Trades and technical,"High school diploma, equivalent, or less",30000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.6826,Diploma,Rural,Northeast,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,394.811835459733
Other,Bachelor's degree,80000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Some college,0.1413,Diploma,Suburb,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,63.5426141429993
Trades and technical,Don't know,75000,More important than salary,More important than salary,More important than salary,More important than salary,Less important than salary,Equally important,More than a bachelor's degree,0.8208,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,16.0401972196828
Don't Know,Bachelor's degree,150000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.164,Diploma,Suburb,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,304.018457519277
Healthcare,More than a bachelor's degree,250000,More important than salary,Equally important,More important than salary,Equally important,Equally important,Equally important,Some college,0.1492,Diploma,City,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,443.915044863261
Healthcare,More than a bachelor's degree,100000,Equally important,Equally important,More important than salary,Less important than salary,More important than salary,Equally important,Associate's degree,-1.0129,Diploma,City,West,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,67.7934752521579
Education,More than a bachelor's degree,65000,Equally important,More important than salary,Equally important,Equally important,Less important than salary,Less important than salary,Bachelor's degree,1.016,Diploma,City,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,169.439780195008
Business and Management,More than a bachelor's degree,70000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,0.9049,Diploma,Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and not in the labor force,528.192698862806
STEM,Bachelor's degree,60000,More important than salary,Equally important,Equally important,Equally important,Less important than salary,Equally important,Some college,-0.2476,Diploma,Town,Midwest,Attained associate's degree,Enrolled in postsecondary education and employed full-time,333.366494312872
Arts and entertainment,More than a bachelor's degree,60000,More important than salary,More important than salary,Equally important,Equally important,More important than salary,More important than salary,Bachelor's degree,0.6444,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,510.16334594115
Don't Know,Bachelor's degree,30000,More important than salary,Equally important,More important than salary,More important than salary,Equally important,Equally important,More than a bachelor's degree,0.5621,Diploma,Town,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed part-time,113.274061212108
Healthcare,Bachelor's degree,60000,More important than salary,More important than salary,More important than salary,Equally important,Equally important,Equally important,Some college,-0.7222,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,876.721627726647
Business and Management,More than a bachelor's degree,100000,Equally important,Equally important,More important than salary,Equally important,Equally important,Equally important,More than a bachelor's degree,0.7182,Diploma,Suburb,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,43.6696927330124
Don't Know,Some college,30000,More important than salary,Equally important,Equally important,More important than salary,Equally important,More important than salary,"High school diploma, equivalent, or less",-0.7158,No HS credential,Suburb,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,564.104826714421
Healthcare,Don't know,65000,Equally important,Equally important,Equally important,Less important than salary,More important than salary,Equally important,Bachelor's degree,1.603,Diploma,Suburb,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,70.0665718850451
Healthcare,More than a bachelor's degree,70000,Equally important,Equally important,Equally important,Less important than salary,Less important than salary,Less important than salary,Bachelor's degree,0.8901,Diploma,Rural,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,28.1929134300808
Education,Bachelor's degree,40000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Some college,-0.5482,Diploma,Rural,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed part-time,467.482305444225
Business and Management,More than a bachelor's degree,100000,More important than salary,More important than salary,Equally important,Equally important,Equally important,Less important than salary,Bachelor's degree,0.7504,Diploma,Suburb,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,385.481266156234
Don't Know,More than a bachelor's degree,70000,More important than salary,More important than salary,Equally important,More important than salary,Less important than salary,Less important than salary,More than a bachelor's degree,0.7444,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,163.621619803309
Healthcare,More than a bachelor's degree,70000,More important than salary,Equally important,More important than salary,More important than salary,Equally important,More important than salary,Bachelor's degree,0.7552,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,1132.72055975316
Don't Know,Bachelor's degree,100000,Equally important,More important than salary,Equally important,Less important than salary,Equally important,Less important than salary,Bachelor's degree,0.957,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,87.084333608941
Don't Know,Bachelor's degree,60000,More important than salary,More important than salary,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,0.2617,Diploma,Town,Northeast,Attained certificate,Enrolled in postsecondary education and employed part-time,164.127141168978
Don't Know,Some college,50000,Equally important,Equally important,Equally important,More important than salary,Equally important,Equally important,Bachelor's degree,0.84,Diploma,City,West,Attained certificate,Not enrolled in postsecondary education and employed part-time,337.882365415131
Business and Management,Some college,75000,More important than salary,Equally important,Less important than salary,More important than salary,More important than salary,Equally important,"High school diploma, equivalent, or less",-0.4077,Diploma,Suburb,West,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,271.413316809314
Arts and entertainment,Don't know,70000,More important than salary,Less important than salary,More important than salary,More important than salary,More important than salary,Less important than salary,Bachelor's degree,0.2769,Diploma,Rural,Northeast,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,45.3940630000978
STEM,Bachelor's degree,60000,More important than salary,Equally important,Equally important,Equally important,Equally important,Less important than salary,"High school diploma, equivalent, or less",-0.9593,Diploma,Suburb,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,253.065924132377
Don't Know,Some college,100000,More important than salary,Less important than salary,Equally important,Equally important,Equally important,Equally important,Less than high school,-1.5661,Diploma,Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and not in the labor force,260.225472800752
Healthcare,Bachelor's degree,95000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,"High school diploma, equivalent, or less",-0.5215,Diploma,Suburb,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and not in the labor force,344.036987501309
Education,"High school diploma, equivalent, or less",10000,Equally important,Equally important,Equally important,Equally important,Equally important,Less important than salary,"High school diploma, equivalent, or less",0.544,Diploma,Suburb,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,338.440456538884
Don't Know,Don't know,75000,Equally important,More important than salary,Less important than salary,More important than salary,Equally important,Less important than salary,More than a bachelor's degree,0.6202,Diploma,City,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,95.5155636018785
Business and Management,Associate's degree,45000,Equally important,Less important than salary,Equally important,Less important than salary,Less important than salary,Less important than salary,Bachelor's degree,0.2163,No HS credential,City,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,240.172516947288
Trades and technical,Bachelor's degree,200000,More important than salary,Equally important,Less important than salary,More important than salary,Less important than salary,Equally important,"High school diploma, equivalent, or less",-0.9225,Diploma,City,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and unemployed,523.92229846722
Healthcare,Bachelor's degree,45000,More important than salary,More important than salary,More important than salary,Less important than salary,Less important than salary,More important than salary,Less than high school,-0.6263,Diploma,Suburb,West,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed full-time,542.400863081498
Don't Know,Bachelor's degree,70000,Equally important,Less important than salary,More important than salary,More important than salary,Less important than salary,Equally important,"High school diploma, equivalent, or less",-0.3257,Diploma,Suburb,West,Item legitimate skip/NA,Not enrolled in postsecondary education and unemployed,1519.55078792216
STEM,More than a bachelor's degree,100000,More important than salary,Equally important,More important than salary,Equally important,Less important than salary,Less important than salary,Associate's degree,0.3622,Diploma,Suburb,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,50.3412287715193
STEM,More than a bachelor's degree,100000,Equally important,More important than salary,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,0.4487,Diploma,City,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,151.994190164178
Healthcare,More than a bachelor's degree,75000,Equally important,Equally important,More important than salary,Equally important,Less important than salary,Less important than salary,More than a bachelor's degree,1.2228,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,523.217736867522
Healthcare,More than a bachelor's degree,80000,Equally important,Equally important,Equally important,Equally important,Less important than salary,Equally important,Bachelor's degree,1.2889,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,137.627637552759
Don't Know,Bachelor's degree,80000,More important than salary,Equally important,Equally important,Less important than salary,Equally important,Less important than salary,Bachelor's degree,0.655,Diploma,Suburb,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,407.201510940061
Healthcare,More than a bachelor's degree,60000,More important than salary,More important than salary,Equally important,Equally important,More important than salary,Less important than salary,Less than high school,-0.7035,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,190.901557115
Service,Some college,65000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,Equally important,Associate's degree,-0.3603,Diploma,Town,Northeast,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,38.8631385096212
Business and Management,More than a bachelor's degree,80000,More important than salary,Equally important,Equally important,Less important than salary,Less important than salary,Less important than salary,Some college,-0.441,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,163.010007611225
Business and Management,Bachelor's degree,70000,More important than salary,More important than salary,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,0.4269,Diploma,Rural,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and unemployed,545.858787366091
Don't Know,More than a bachelor's degree,40000,Equally important,Equally important,More important than salary,Equally important,Equally important,Equally important,More than a bachelor's degree,0.5725,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,63.7095017238393
Don't Know,Don't know,50000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.9445,Diploma,Rural,South,"No degree, not enrolled",Not enrolled in postsecondary education and unemployed,140.839788997811
Don't Know,More than a bachelor's degree,250000,Equally important,More important than salary,Equally important,More important than salary,More important than salary,Less important than salary,Bachelor's degree,0.422,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,679.053455264903
Business and Management,Don't know,100000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,"High school diploma, equivalent, or less",-0.7445,Diploma,City,West,Attained certificate,Not enrolled in postsecondary education and employed full-time,2125.40209965135
Don't Know,"High school diploma, equivalent, or less",80000,More important than salary,Less important than salary,Equally important,Equally important,Less important than salary,Equally important,Associate's degree,-0.0721,Diploma,Rural,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,28.1189888664431
Business and Management,Bachelor's degree,125000,Equally important,Equally important,Equally important,Equally important,Less important than salary,Equally important,Bachelor's degree,1.3142,Diploma,Suburb,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,208.031592501436
Don't Know,More than a bachelor's degree,60000,More important than salary,More important than salary,More important than salary,More important than salary,Equally important,More important than salary,Bachelor's degree,1.0689,Diploma,Rural,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,32.5426060110682
Business and Management,Bachelor's degree,70000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,0.8995,Diploma,Rural,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and unemployed,12.6959456633434
Other,Associate's degree,30000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",0.046,Diploma,Rural,West,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,134.481890012656
Service,Some college,30000,Equally important,Equally important,Equally important,Equally important,Less important than salary,Less important than salary,Some college,-0.575,Diploma,Suburb,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,110.695237418793
Business and Management,More than a bachelor's degree,70000,More important than salary,Equally important,Less important than salary,Equally important,More important than salary,Less important than salary,Bachelor's degree,1.1168,Diploma,Suburb,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,426.833526299409
Military and protective services,Don't know,55000,More important than salary,More important than salary,Equally important,Less important than salary,More important than salary,Less important than salary,"High school diploma, equivalent, or less",-1.0449,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,150.521070596066
Arts and entertainment,Don't know,50000,Equally important,Equally important,More important than salary,Equally important,Equally important,More important than salary,"High school diploma, equivalent, or less",-0.1012,Diploma,Town,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,803.183474334798
Education,Some college,25000,More important than salary,Equally important,Equally important,Equally important,Less important than salary,Equally important,Associate's degree,0.4845,Diploma,Rural,Northeast,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed full-time,509.595928166294
Don't Know,Some college,40000,More important than salary,Equally important,Less important than salary,Equally important,Less important than salary,Less important than salary,"High school diploma, equivalent, or less",-0.4447,Diploma,Suburb,West,"No degree, not enrolled",Not enrolled in postsecondary education and employed part-time,840.840064289225
Don't Know,Don't know,40000,Equally important,More important than salary,Equally important,Less important than salary,Less important than salary,Less important than salary,"High school diploma, equivalent, or less",-0.5223,Diploma,Suburb,South,"No degree, not enrolled",Not enrolled in postsecondary education and unemployed,334.722959291857
Military and protective services,More than a bachelor's degree,50000,Equally important,Equally important,Equally important,Equally important,Equally important,More important than salary,"High school diploma, equivalent, or less",-0.6004,Diploma,City,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,48.4249605825289
Don't Know,More than a bachelor's degree,75000,More important than salary,More important than salary,Equally important,Equally important,More important than salary,Equally important,"High school diploma, equivalent, or less",0.2281,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,56.9547716308641
Business and Management,More than a bachelor's degree,250000,More important than salary,Equally important,Equally important,Equally important,Equally important,Equally important,Some college,-0.6953,No HS credential,City,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,24.1279443313552
Don't Know,More than a bachelor's degree,40000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.7656,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,332.076150159392
Don't Know,More than a bachelor's degree,50000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Associate's degree,0.06,Diploma,Suburb,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,64.2172523401289
STEM,Don't know,65000,More important than salary,More important than salary,Equally important,Equally important,Less important than salary,Equally important,Bachelor's degree,0.6246,Diploma,Suburb,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,222.65674907257701
Business and Management,More than a bachelor's degree,40000,More important than salary,More important than salary,More important than salary,More important than salary,Equally important,Equally important,Bachelor's degree,0.8094,Diploma,City,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,35.4886505301746
Trades and technical,Associate's degree,80000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Associate's degree,-0.2364,Diploma,Rural,Midwest,Attained associate's degree,Not enrolled in postsecondary education and employed full-time,570.252863120651
STEM,Bachelor's degree,85000,More important than salary,More important than salary,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,0.4248,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,218.875617471892
Healthcare,Bachelor's degree,50000,More important than salary,Equally important,More important than salary,Equally important,More important than salary,Equally important,Bachelor's degree,1.2224,Diploma,Town,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,95.239656411145
Other,Bachelor's degree,90000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,1.3622,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,524.042928417192
